"Cliente_ID";"Cliente";"Cliente_Contato";"Telefone";"Cidade_ID"
431;"Gramados Sintéticos";"Pedro Henrique Rodrigues Pereira";"(31) 0201-7890";7
432;"Móveis para Área Externa";"Laura Oliveira Costa";"(31) 9212-8901";14
433;"Churrasqueiras e Fornos";"Gabriel Souza Martins";"(31) 8223-9012";14
434;"Coberturas e Toldos";"Manuela Rocha Alves";"(31) 7234-0123";14
435;"Redes de Proteção";"Lucas Gabriel Silva Ribeiro";"(31) 6245-1234";16
436;"Câmeras de Segurança";"Beatriz Costa Fonseca";"(31) 5256-2345";16
437;"Alarmes Monitorados";"Matheus Henrique Pereira Souza";"(31) 4267-3456";16
438;"Portões Eletrônicos";"Yasmin Oliveira Lima";"(31) 3278-4567";30
439;"Interfones e Vídeo Porteiros";"João Pedro Martins Rocha";"(31) 2289-5678";30
440;"Fechaduras de Segurança";"Maria Eduarda Alves Oliveira";"(31) 1290-6789";30
441;"Serviços de Chaveiro";"Vinicius Silva Pereira Costa";"(31) 0301-7890";22
442;"Instalação de Antenas";"Ana Clara Rodrigues Ribeiro";"(31) 9312-8901";24
443;"Home Theater";"Thiago Oliveira Fonseca Souza";"(31) 8323-9012";24
444;"Projetores e Telas";"Larissa Pereira Costa Lima";"(31) 7334-0123";24
445;"Som Ambiente";"Eduardo Costa Martins Rocha";"(31) 6345-1234";23
446;"Iluminação Cênica";"Carolina Martins Alves Oliveira";"(31) 5356-2345";23
447;"Cortinas e Persianas";"Marcelo Silva Pereira Costa";"(31) 4367-3456";14
448;"Papel de Parede";"Amanda Rodrigues Oliveira Lima";"(31) 3378-4567";14
449;"Tapetes e Carpetes";"Felipe Oliveira Fonseca Rocha";"(31) 2389-5678";14
450;"Objetos de Decoração";"Patrícia Pereira Souza Martins";"(31) 1390-6789";14
451;"Artesanato em Madeira";"Bruno Costa Lima Alves";"(31) 0401-7890";31
452;"Cerâmica Artística";"Natália Martins Rocha Oliveira";"(31) 9412-8901";35
453;"Pintura em Tela";"Rafael Alves Pereira Costa";"(31) 8423-9012";35
454;"Esculturas em Metal";"Bianca Silva Oliveira Lima";"(31) 7434-0123";35
455;"Joias Artesanais";"Leonardo Rodrigues Pereira Fonseca";"(31) 6445-1234";32
456;"Bijuterias Criativas";"Isadora Oliveira Costa Souza";"(31) 5456-2345";32
457;"Bolsas e Acessórios";"Daniel Pereira Martins Lima";"(31) 4467-3456";13
458;"Sapatos Personalizados";"Letícia Costa Alves Rocha";"(31) 3478-4567";18
459;"Roupas Sob Medida";"Guilherme Martins Silva Oliveira";"(31) 2489-5678";17
460;"Cosméticos Naturais";"Sofia Alves Rodrigues Pereira";"(31) 1490-6789";4
461;"Produtos Veganos";"Enzo Silva Oliveira Fonseca";"(31) 0501-7890";2
462;"Cestas de Presente";"Alice Rodrigues Pereira Costa";"(31) 9512-8901";32
463;"Chocolates Artesanais";"Pedro Henrique Oliveira Costa Martins";"(31) 8523-9012";5
464;"Cervejas Especiais";"Laura Costa Martins Alves Rocha";"(31) 7534-0123";3
465;"Vinhos Importados";"Gabriel Martins Alves Silva Oliveira";"(31) 6545-1234";21
466;"Queijos Artesanais";"Manuela Alves Silva Rodrigues Pereira";"(31) 5556-2345";1
467;"Pães Artesanais";"Lucas Gabriel Silva Rodrigues Oliveira";"(31) 4567-3456";1
468;"Doces Caseiros";"Beatriz Costa Pereira Fonseca Souza";"(31) 3578-4567";5
469;"Compotas e Geleias";"Matheus Henrique Martins Costa Lima";"(31) 2589-5678";1
470;"Temperos e Especiarias";"Yasmin Oliveira Alves Rocha Martins";"(31) 1590-6789";2
471;"Alimentos Funcionais";"João Pedro Martins Silva Oliveira Alves";"(31) 0601-7890";2
472;"Suplementos Alimentares";"Maria Eduarda Alves Rodrigues Pereira Costa";"(31) 9612-8901";4
473;"Produtos Orgânicos";"Vinicius Silva Oliveira Fonseca Souza Rocha";"(31) 8623-9012";2
474;"Cestas de Café da Manhã";"Ana Clara Rodrigues Pereira Costa Martins Alves";"(31) 7634-0123";3
475;"Flores para Presente";"Thiago Oliveira Costa Martins Alves Silva";"(31) 6645-1234";7
476;"Arranjos Florais";"Larissa Pereira Souza Martins Alves Rodrigues";"(31) 5656-2345";7
477;"Buquês de Flores";"Eduardo Costa Lima Alves Rocha Oliveira";"(31) 4667-3456";7
478;"Coroas de Flores";"Carolina Martins Rocha Oliveira Pereira Costa";"(31) 3678-4567";7
479;"Plantas para Interiores";"Marcelo Alves Pereira Costa Martins Silva";"(31) 2689-5678";7
480;"Plantas para Exteriores";"Amanda Silva Rodrigues Pereira Fonseca Souza";"(31) 1690-6789";7
481;"Vasos Decorativos";"Felipe Rodrigues Oliveira Costa Martins Alves";"(31) 0701-7890";14
482;"Adubos e Fertilizantes";"Patrícia Oliveira Fonseca Souza Rocha Martins";"(31) 9712-8901";2
483;"Ferramentas de Jardinagem";"Bruno Pereira Costa Lima Alves Rocha Oliveira";"(31) 8723-9012";22
484;"Sementes e Mudas";"Natália Costa Martins Rocha Oliveira Pereira Costa";"(31) 7734-0123";2
485;"Serviços de Floricultura";"Rafael Martins Alves Silva Rodrigues Pereira";"(31) 6745-1234";7
486;"Livros de Arte";"Bianca Silva Rodrigues Pereira Fonseca Souza Rocha";"(31) 5756-2345";12
487;"Livros de Ficção";"Leonardo Rodrigues Oliveira Costa Martins Alves Silva";"(31) 4767-3456";12
488;"Livros de Não Ficção";"Isadora Oliveira Fonseca Souza Rocha Martins Alves";"(31) 3778-4567";12
489;"Livros Infantis";"Daniel Pereira Costa Lima Alves Rocha Oliveira";"(31) 2789-5678";10
490;"Livros Didáticos";"Letícia Costa Martins Rocha Oliveira Pereira Costa";"(31) 1790-6789";10
491;"Mangás e Comics";"Guilherme Martins Alves Silva Rodrigues Pereira";"(31) 0801-7890";12
492;"Revistas Especializadas";"Sofia Alves Rodrigues Pereira Fonseca Souza Rocha";"(31) 9812-8901";12
493;"Jornais Diários";"Enzo Silva Oliveira Fonseca Souza Rocha Martins";"(31) 8823-9012";12
494;"E-books";"Alice Rodrigues Pereira Costa Martins Alves Silva";"(31) 7834-0123";12
495;"Audiobooks";"Pedro Henrique Oliveira Costa Martins Alves Rodrigues";"(31) 6845-1234";12
496;"Papelaria Criativa";"Laura Costa Martins Alves Rocha Oliveira Pereira";"(31) 5856-2345";30
497;"Material de Desenho";"Gabriel Martins Alves Silva Rodrigues Pereira Fonseca";"(31) 4867-3456";30
498;"Instrumentos Musicais";"Manuela Alves Silva Rodrigues Pereira Fonseca Souza";"(31) 3878-4567";23
499;"Acessórios Musicais";"Lucas Gabriel Silva Rodrigues Oliveira Pereira Costa";"(31) 2889-5678";23
500;"Equipamentos de Áudio";"Beatriz Costa Pereira Fonseca Souza Rocha Martins";"(31) 1890-6789";24
501;"Equipamentos de Vídeo";"Matheus Henrique Martins Costa Lima Alves Rocha Oliveira";"(31) 0901-7890";24
502;"Instrumentos de Corda";"Yasmin Oliveira Alves Rocha Martins";"(31) 9901-1234";23
503;"Instrumentos de Sopro";"João Pedro Martins Silva Oliveira Alves";"(31) 8912-2345";23
504;"Instrumentos de Percussão";"Maria Eduarda Alves Rodrigues Pereira Costa";"(31) 7923-3456";23
505;"Teclados e Pianos";"Vinicius Silva Oliveira Fonseca Souza Rocha";"(31) 6934-4567";23
506;"Partituras Musicais";"Ana Clara Rodrigues Pereira Costa Martins Alves";"(31) 5945-5678";12
507;"Acessórios para Bateria";"Thiago Oliveira Costa Martins Alves Silva";"(31) 4956-6789";23
508;"Microfones e Fones";"Larissa Pereira Souza Martins Alves Rodrigues";"(31) 3967-7890";24
509;"Equipamentos de DJ";"Eduardo Costa Lima Alves Rocha Oliveira";"(31) 2978-8901";24
510;"Iluminação para Shows";"Carolina Martins Rocha Oliveira Pereira Costa";"(31) 1989-9012";24
511;"Efeitos Visuais";"Marcelo Alves Pereira Costa Martins Silva";"(31) 0990-0123";24
512;"Aluguel de Palcos";"Amanda Silva Rodrigues Pereira Fonseca Souza";"(31) 9001-1234";22
513;"Sonorização de Eventos";"Felipe Rodrigues Oliveira Costa Martins Alves";"(31) 8012-2345";24
514;"Tradução de Livros";"Patrícia Oliveira Fonseca Souza Rocha Martins";"(31) 7023-3456";12
515;"Revisão de Textos Acadêmicos";"Bruno Pereira Costa Lima Alves Rocha Oliveira";"(31) 6034-4567";11
516;"Cursos de Redação";"Natália Costa Martins Rocha Oliveira Pereira Costa";"(31) 5045-5678";11
517;"Aulas de Literatura";"Rafael Martins Alves Silva Rodrigues Pereira";"(31) 4056-6789";11
518;"Grupos de Leitura";"Bianca Silva Rodrigues Pereira Fonseca Souza Rocha";"(31) 3067-7890";11
519;"Editoração de Livros";"Leonardo Rodrigues Oliveira Costa Martins Alves Silva";"(31) 2078-8901";30
520;"Diagramação de Revistas";"Isadora Oliveira Fonseca Souza Rocha Martins Alves";"(31) 1089-9012";30
521;"Criação de Capas";"Daniel Pereira Costa Lima Alves Rocha Oliveira";"(31) 0090-0123";31
